a	एक
overcharge	अधिक दाम लेना,अति आवेशित करना
overcoat	ऊपर पहननेवाला बडा कोट
overcome	विजयी होना,पार करना
overcompensate	कमी पूरी करना
overconfidence	अतिविश्वास
overcook	ज़रूरत से ज़्यादा पकाना
overcooked	ज़रूरत से  ज़्यादा पकय हुआ
overcrowd	अधिक भर देना,भीड़
overcrowded	अति संकुलित
overcrowding	अति संकुलता
overdo	अति करना
overdose	अतिमात्रा
overdraft	खाते में जमा से अधिक रकम निकालना
overdraw	काते में से जमा से अधिक राशि निकालना,बढ़ा.चढ़ा कर कहना
overdrawn	बैंक खाते में से अधिक धन निकाला हुआ
overdressed	भड़्कीले कपड़े पहना हुआ
overdrive	अत्यधिक गतिविधि की अवस्था,ऊँचा गियर,अत्यधिक थका देना,अति उपयोग करना,ज़्यादा काम में लाना
overdue	जो बहुत पहले ही हो जाना चाहिये थाए वह,विलंबित
overeat	ज़्यादा खाना
overemphasis	अत्यधिक बल
overemphasise	अत्यधिक बल देना
overemphasize	अत्यधिक बल देना
overestimate	अधिमूल्यांकन,अतिप्राकलन,अधिक मूल्य लगाना,वास्तविकता से अधिक समझना
overestimation	अधिमूल्यांकन,अतिप्राकलन
overexploitation	अति.शोषण
overexpose	अति उद्भासित करना,अति प्रदर्शन करना
overexposure	अति उद्भासन,अति खुलाव
overfishing	मछलियों का अत्यधिक पकड
overflow	जलमग्न होना,छलकना,उमड़ना
overflowing	चढ़ा हुआ
overfly	किसी स्थान के ऊपर उडना
overgenerous	अत्युदार
overgorge	ज़्यादा खाना
overground	जमीन के ऊपर का,जमीन के ऊपर
overgrown	अधिक उम्र का,आच्छादित
overgrowth	असाधारण बाढ़,अतिवृद्धि
overhand	बाँह उठा कर किया गया,बाँह उठा कर
overhang	छज्जा,लटका हुआ होना,लटकना
overhaul	पूर्ण मरम्मत,करना,जाॅंचना
overhead	बधाॅंखर्च,उपरी खर्च,अतिरिक्त
overheads	ऊपरी खर्च से सम्बन्धित
overhear	संयोग से या छिपकर सुनना
overheat	ज्यादा गरम करना
overindulge	ज़्यादा खाना
overjoy	अधिक प्रसन्न होना
overjoyed	अतिप्रसन्न
overkill	अत्यधिक विनाशकारी क्षमता
overland	स्थलमार्ग
overlap	कुछ अंश तक ढक लेना
overlapping	परस्पर व्यापन,अषंछादन,खपरैल
overlay	अधिचित्र,आवरण,ठकना,फेला देना,बिछाना
overleaf	दूसरी ओर
overleap	लांघ जाना
overload	अधिक भार डालना
overloaded	अतिभारित
overlook	देखी अनदेखी,उपेक्षा
overlooked	उपेक्षित
overlord	अधिपति
overly	बहुत ज़्यादा
overlying	उपरिशायी
overman	अधिकर्मी
overmanned	जिसमें जरूरत से ज्यादा कर्मचारी भरे हों
overmanning	आवश्यकता से अधिक कर्मचारी होना
overmany	अत्यधिक
overmaster	पराजित करना
overmatch	मात कर देना
overmeasure	घाल.घलुआ
overmuch	बहुत अधिक
overnice	अतिसुकुमार
overnight	रात को,रातभर
overnightstay	रात्रिवास
overpass	पार करना,छोड़कर
overpay	अधिक देना
overpayment	अधिशोधन,अधिक भुगतान
overpersuade	मनवाना,राजी करना
overplay	अत्यभिनय करना
overplus	आधिक्य,बचत
overpopulated	अत्यधिक आबाद
overpopulation	अत्यधिक आबादी
